Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
Dil Tera Diwana,1962,150,"Comedy, Romance",7.0,94,B. Ramakrishnaiah Panthulu,Shammi Kapoor,Mala Sinha,Mehmood,https://www.imdb.com/find?q=Dil%20Tera%20Diwana
Dil Tera Diwana,1996,139,"Drama, Mystery",5.0,185,Lawrence D'Souza,Saif Ali Khan,Twinkle Khanna,Shatrughan Sinha,https://www.imdb.com/find?q=Dil%20Tera%20Diwana
Dil to Pagal Hai,1997,180,"Comedy, Drama, Musical",7.0,21182,Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor,https://www.imdb.com/find?q=Dil%20to%20Pagal%20Hai
Dil Toh Baccha Hai Ji,2011,143,"Comedy, Drama, Romance",5.8,3723,Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Omi Vaidya,https://www.imdb.com/find?q=Dil%20Toh%20Baccha%20Hai%20Ji
Dil Toh Deewana Hai,2016,135,"Drama, Romance",6.5,17,Raja Bundela,Zeenat Aman,Raj Babbar,Meenu Bhardwaj,https://www.imdb.com/find?q=Dil%20Toh%20Deewana%20Hai
Dil Tujhko Diya,1987,127,Romance,5.0,22,Rakesh Kumar,Kumar Gaurav,Rati Agnihotri,Mala Sinha,https://www.imdb.com/find?q=Dil%20Tujhko%20Diya
Dil Vil Pyar Vyar,2002,150,"Drama, Musical, Romance",5.3,454,Ananth Narayan Mahadevan,Madhavan,Jimmy Sheirgill,Sanjay Suri,https://www.imdb.com/find?q=Dil%20Vil%20Pyar%20Vyar
Dil... Akhir Dil Hai,1982,216,Drama,5.5,15,Esmayeel Shroff,Rakhee Gulzar,Parveen Babi,Naseeruddin Shah,https://www.imdb.com/find?q=Dil...%20Akhir%20Dil%20Hai
Dilbar,1994,138,"Drama, Romance",3.8,21,B. Krishna Rao,Mamta Kulkarni,Rishikesh Raj,Nawaz Khan,https://www.imdb.com/find?q=Dilbar
Dildaar,1977,165,"Action, Comedy, Drama",4.5,18,K. Bapaiah,Jeetendra,Rekha,Sujit Kumar,https://www.imdb.com/find?q=Dildaar
Dil-E-Nadan,1953,142,Romance,6.7,10,Abdul Rashid Kardar,Talat Mahmood,Shyama,Shyam Kumar,https://www.imdb.com/find?q=Dil-E-Nadan
Diljalaa,1987,140,"Action, Drama",5.1,23,Bapu,Jackie Shroff,Farha Naaz,Tanuja,https://www.imdb.com/find?q=Diljalaa
Diljale,1996,159,"Action, Drama, Romance",5.8,1559,Harry Baweja,Ajay Devgn,Sonali Bendre,Amrish Puri,https://www.imdb.com/find?q=Diljale
Dil-Ki-Rani (Sweet-Heart),1947,130,"Comedy, Romance",7.4,64,Mohan Sinha,Raj Kapoor,Madhubala,Shyam Sunder,https://www.imdb.com/find?q=Dil-Ki-Rani%20(Sweet-Heart)
Dillagi,1999,188,"Drama, Musical, Romance",5.3,1076,Sunny Deol,Sunny Deol,Bobby Deol,Urmila Matondkar,https://www.imdb.com/find?q=Dillagi
Dillagi,1966,146,"Comedy, Drama, Romance",6.3,18,S.N. Banerjee,Mala Sinha,Sanjay Khan,Nazima,https://www.imdb.com/find?q=Dillagi
Dilliwaali Zaalim Girlfriend,2015,121,"Comedy, Drama",3.7,176,Japinder Kaur Baweja,Ira Dubey,Natalia Kapchuk,Vijay Meenu,https://www.imdb.com/find?q=Dilliwaali%20Zaalim%20Girlfriend
Dilruba,1950,123,"Crime, Drama, Mystery",7.1,30,Dwarka Khosla,Rehana,Dev Anand,Cuckoo,https://www.imdb.com/find?q=Dilruba
Dilwaala,1986,160,"Action, Comedy, Drama",3.7,1134,K. Muralimohana Rao,Mithun Chakraborty,Smita Patil,Meenakshi Sheshadri,https://www.imdb.com/find?q=Dilwaala
Dilwale,1994,172,"Action, Drama, Romance",5.7,2755,Harry Baweja,Ajay Devgn,Sunil Shetty,Raveena Tandon,https://www.imdb.com/find?q=Dilwale
Dilwale,2015,158,"Action, Comedy, Drama",5.1,32366,Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan,https://www.imdb.com/find?q=Dilwale
Dilwale Dulhania Le Jayenge,1995,181,"Drama, Romance",8.1,65134,Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,https://www.imdb.com/find?q=Dilwale%20Dulhania%20Le%20Jayenge
Dilwale Dulhaniya Le Jayenge,1980,120,Romance,7.2,58,Rajendra Singh 'Atish',Beena Banerjee,Desh Gautam,Tariq Shah,https://www.imdb.com/find?q=Dilwale%20Dulhaniya%20Le%20Jayenge
Direct Ishq,2016,130,"Action, Comedy, Romance",4.0,66,Rajiv S. Ruia,Rajniesh Duggall,Nidhi Subbaiah,Arjun Bijlani,https://www.imdb.com/find?q=Direct%20Ishq
Dirty Politics,2015,130,Drama,2.5,575,K.C. Bokadia,Anupam Kher,Atul Kulkarni,Awdhesh Mishra,https://www.imdb.com/find?q=Dirty%20Politics
Disco Dancer,1982,135,"Drama, Musical, Romance",6.4,1291,Babbar Subhash,Mithun Chakraborty,Kim,Kalpana Iyer,https://www.imdb.com/find?q=Disco%20Dancer
Disha,1990,135,"Comedy, Drama, Musical",7.0,145,Sai Paranjape,Shabana Azmi,Nana Patekar,Raghuvir Yadav,https://www.imdb.com/find?q=Disha
Dishkiyaoon,2014,119,"Action, Thriller",5.2,986,Sanamjit Singh Talwar,Harman Baweja,Harsh Chhaya,Sunny Deol,https://www.imdb.com/find?q=Dishkiyaoon
Dishoom,2016,124,"Action, Adventure, Comedy",5.1,7100,Rohit Dhawan,John Abraham,Varun Dhawan,Jacqueline Fernandez,https://www.imdb.com/find?q=Dishoom
Divorce,1984,133,"Romance, Drama",5.7,7,N.D. Kothari,Sharmila Tagore,Girish Karnad,Vijayendra Ghatge,https://www.imdb.com/find?q=Divorce
Divya Shakti,1993,180,"Action, Drama",3.8,199,Sameer Malkan,Ajay Devgn,Raveena Tandon,Satyendra Kapoor,https://www.imdb.com/find?q=Divya%20Shakti
Diwana,1967,171,"Drama, Romance",6.9,117,Mahesh Kaul,Raj Kapoor,Saira Banu,Lalita Pawar,https://www.imdb.com/find?q=Diwana
Do Anjaane,1976,155,Drama,6.9,421,Dulal Guha,Amitabh Bachchan,Rekha,Prem Chopra,https://www.imdb.com/find?q=Do%20Anjaane
Do Ankhen Barah Haath,1957,143,"Comedy, Crime, Drama",8.4,1710,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Ulhas,https://www.imdb.com/find?q=Do%20Ankhen%20Barah%20Haath
Do Aur Do Paanch,1980,132,"Action, Comedy, Drama",7.0,954,Rakesh Kumar,Shashi Kapoor,Amitabh Bachchan,Hema Malini,https://www.imdb.com/find?q=Do%20Aur%20Do%20Paanch
Do Bhai,1969,150,"Action, Crime, Drama",6.2,34,Brij,Ashok Kumar,Mala Sinha,Jeetendra,https://www.imdb.com/find?q=Do%20Bhai
Do Bigha Zamin,1953,131,Drama,8.4,1857,Bimal Roy,Balraj Sahni,Nirupa Roy,Ratan Kumar,https://www.imdb.com/find?q=Do%20Bigha%20Zamin
Do Boond Pani,1971,141,"Action, Drama",6.3,15,Khwaja Ahmad Abbas,Jalal Agha,Simi Garewal,Kiran Kumar,https://www.imdb.com/find?q=Do%20Boond%20Pani
Do Chehre,2015,120,Action,5.3,20,Ashok Gaekwad,Krishna Abhishek,Mohnish Bahl,Negar Khan,https://www.imdb.com/find?q=Do%20Chehre
Do Dishayen,1982,149,"Drama, Romance",6.0,20,Dulal Guha,Dharmendra,Shreeram Lagoo,Nirupa Roy,https://www.imdb.com/find?q=Do%20Dishayen
Do Dooni Chaar,2010,112,"Comedy, Drama",7.5,5232,Habib Faisal,Rishi Kapoor,Neetu Singh,Aditi Vasudev,https://www.imdb.com/find?q=Do%20Dooni%20Chaar
Do Dooni Char,1968,135,"Comedy, Drama",7.2,66,Debu Sen,Kishore Kumar,Asit Kumar Sen,Surekha,https://www.imdb.com/find?q=Do%20Dooni%20Char
Do Gaz Zameen Ke Neeche,1972,127,Horror,6.1,88,Tulsi Ramsay,Surendra Kumar,Pooja,Imtiaz,https://www.imdb.com/find?q=Do%20Gaz%20Zameen%20Ke%20Neeche
Do Jasoos,1975,135,"Comedy, Mystery",6.1,100,Naresh Kumar,Raj Kapoor,Rajendra Kumar,Shailendra Singh,https://www.imdb.com/find?q=Do%20Jasoos
Do Kaliyaan,1968,160,"Drama, Family, Musical",6.5,71,R. Krishnan,S. Panju,Mala Sinha,Biswajit Chatterjee,https://www.imdb.com/find?q=Do%20Kaliyaan
Do Knot Disturb,2009,126,"Comedy, Drama",3.6,1130,David Dhawan,Govinda,Sushmita Sen,Riteish Deshmukh,https://www.imdb.com/find?q=Do%20Knot%20Disturb
Do Lafzon Ki Kahani,2016,128,"Action, Drama, Romance",6.5,1411,Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda,https://www.imdb.com/find?q=Do%20Lafzon%20Ki%20Kahani
Do Musafir,1978,147,"Drama, Family, Romance",7.1,22,Devendra Goel,Shashi Kapoor,Rekha,Ashok Kumar,https://www.imdb.com/find?q=Do%20Musafir
Do Nambar Ke Amir,1974,136,"Crime, Drama",7.2,5,P.D. Shenoy,Asha Sachdev,Sajid Khan,A.K. Hangal,https://www.imdb.com/find?q=Do%20Nambar%20Ke%20Amir
Do Numbri,1998,139,Action,3.8,24,T.L.V. Prasad,Mithun Chakraborty,Sneha,Sadashiv Amrapurkar,https://www.imdb.com/find?q=Do%20Numbri
Do Phool,1958,161,"Drama, Family",6.0,7,Abdul Rashid Kardar,Kumari Naaz,Master Romi,Vijaya Choudhury,https://www.imdb.com/find?q=Do%20Phool
Do Phool,1974,140,"Action, Comedy, Drama",6.7,59,S. Ramanathan,Ashok Kumar,Vinod Mehra,Aruna Irani,https://www.imdb.com/find?q=Do%20Phool
Do Premee,1980,135,"Action, Thriller",5.7,54,Raj Khosla,Rishi Kapoor,Moushumi Chatterjee,Om Prakash,https://www.imdb.com/find?q=Do%20Premee
Do Qaidi,1989,158,"Action, Thriller",4.4,104,Ajay Kashyap,Sanjay Dutt,Govinda,Farha Naaz,https://www.imdb.com/find?q=Do%20Qaidi
Do Raaste,1969,165,"Drama, Romance",7.0,273,Raj Khosla,Rajesh Khanna,Mumtaz,Balraj Sahni,https://www.imdb.com/find?q=Do%20Raaste
Do Raha,1971,130,Drama,6.3,9,Feroz Chinoy,Anil Dhawan,Radha Saluja,Roopesh Kumar,https://www.imdb.com/find?q=Do%20Raha
Do Sholay,1977,145,Action,3.3,6,Sukhdev Ahluwalia,C.S. Aasie,Lata Arora,Billa,https://www.imdb.com/find?q=Do%20Sholay
Do Ustad,1959,139,"Action, Crime, Drama",7.1,69,Tara Harish,Raj Kapoor,Madhubala,Sulochana Latkar,https://www.imdb.com/find?q=Do%20Ustad
Do Waqt Ki Roti,1988,110,Action,6.4,24,Satpal,Feroz Khan,Sanjeev Kumar,Reena Roy,https://www.imdb.com/find?q=Do%20Waqt%20Ki%20Roti
DOA: Death of Amar,2014,90,Thriller,7.1,29,Param Gill,Steven a Dsouza,Zareen Khan,Rajeev Khandelwal,https://www.imdb.com/find?q=DOA:%20Death%20of%20Amar
Dobaara: See Your Evil,2017,106,"Horror, Mystery",3.7,325,Prawaal Raman,Adil Hussain,Huma Qureshi,Madalina Bellariu Ion,https://www.imdb.com/find?q=Dobaara:%20See%20Your%20Evil
Dobara,2004,135,"Musical, Drama",3.2,129,Shashi Ranjan,Jackie Shroff,Raveena Tandon,Mahima Chaudhry,https://www.imdb.com/find?q=Dobara
Doctor,1940,144,Drama,6.5,6,Phani Majumdar,Subodh Mitra,Pankaj Mullick,Ahindra Choudhury,https://www.imdb.com/find?q=Doctor
Doli,1969,156,"Drama, Romance",7.2,59,Adurthi Subba Rao,Rajesh Khanna,Babita Kapoor,Prem Chopra,https://www.imdb.com/find?q=Doli
Doli Saja Ke Rakhna,1998,170,"Drama, Romance",6.4,505,Priyadarshan,Akshaye Khanna,Jyotika,Anupam Kher,https://www.imdb.com/find?q=Doli%20Saja%20Ke%20Rakhna
Dolly Ki Doli,2015,98,"Comedy, Romance",4.5,2880,Abhishek Dogra,Malaika Arora,Karan Ashar,Mohd. Zeeshan Ayyub,https://www.imdb.com/find?q=Dolly%20Ki%20Doli
Dolly Kitty and Those Twinkling Stars,2019,126,"Comedy, Drama",5.4,4755,Alankrita Shrivastava,Konkona Sen Sharma,Bhumi Pednekar,Amol Parashar,https://www.imdb.com/find?q=Dolly%20Kitty%20and%20Those%20Twinkling%20Stars
Dombivli Return,2019,129,"Drama, Thriller",4.9,46,Mahendra Teredesai,Sandeep Kulkarni,Rajeshwari Sachdev,Amol Parashar,https://www.imdb.com/find?q=Dombivli%20Return
Don,2006,171,"Action, Crime, Thriller",7.2,35121,Farhan Akhtar,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal,https://www.imdb.com/find?q=Don
Don,1978,166,"Action, Crime, Thriller",7.8,11591,Chandra Barot,Amitabh Bachchan,Zeenat Aman,Pran,https://www.imdb.com/find?q=Don
Don 2,2011,148,"Action, Crime, Thriller",7.1,50435,Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri,https://www.imdb.com/find?q=Don%202
Don Muthu Swami,2008,112,"Comedy, Drama",4.7,60,Ashim S. Samanta,Mithun Chakraborty,Ali Asgar,Arun Bakshi,https://www.imdb.com/find?q=Don%20Muthu%20Swami
Dongri Ka Raja,2016,139,"Action, Drama, Musical",3.9,155,Hadi Abrar,Ronit Roy,Ashmit Patel,Gashmeer Mahajani,https://www.imdb.com/find?q=Dongri%20Ka%20Raja
Doodh Aur Apheem,2006,83,"Adventure, Drama, Music",6.7,17,Joel Palombo,Swaroop Khan,Nizam Khan,Mohamad Khan,https://www.imdb.com/find?q=Doodh%20Aur%20Apheem
Doodh Ka Karz,1990,168,"Action, Drama, Fantasy",4.6,118,Ashok Gaekwad,Jackie Shroff,Neelam Kothari,Prem Chopra,https://www.imdb.com/find?q=Doodh%20Ka%20Karz
Door Bell,2017,99,Drama,4.0,7,Agrawal Mukesh Narayan,Shubhra Ghosh,Nataliya Kozhenova,Nishant Kumar,https://www.imdb.com/find?q=Door%20Bell
Door Gagan Ki Chhaon Men,1964,153,"Drama, Musical",8.2,53,Kishore Kumar,Kishore Kumar,Supriya Choudhury,Amit Kumar,https://www.imdb.com/find?q=Door%20Gagan%20Ki%20Chhaon%20Men
Door Ka Raahi,1971,138,Drama,7.7,47,Kishore Kumar,Kishore Kumar,Ashok Kumar,Tanuja,https://www.imdb.com/find?q=Door%20Ka%20Raahi
Door Ki Awaaz,1964,135,Romance,6.0,33,Devendra Goel,Joy Mukherjee,Saira Banu,Pran,https://www.imdb.com/find?q=Door%20Ki%20Awaaz
Doordarshan,2020,119,"Comedy, Drama",6.2,1336,Gagan Puri,Manu Rishi Chadha,Mahie Gill,Dolly Ahluwalia,https://www.imdb.com/find?q=Doordarshan
Doosara Aadmi,1977,137,"Drama, Family, Romance",7.0,168,Ramesh Talwar,Shashi Kapoor,Rishi Kapoor,Neetu Singh,https://www.imdb.com/find?q=Doosara%20Aadmi
Doosri Dulhan,1983,153,"Drama, Family",6.9,15,Lekh Tandon,Victor Banerjee,Sharmila Tagore,Shabana Azmi,https://www.imdb.com/find?q=Doosri%20Dulhan
Dor,2006,147,Drama,7.9,5785,Nagesh Kukunoor,Ayesha Takia,Shreyas Talpade,Gul Panag,https://www.imdb.com/find?q=Dor
Dosh,2007,141,"Crime, Drama, Mystery",5.3,13,Pappu Palviendra,Sadashiv Amrapurkar,Kulbir Badesron,Pinky Chinoy,https://www.imdb.com/find?q=Dosh
Dost,1974,164,Drama,7.0,222,Dulal Guha,Dharmendra,Hema Malini,Shatrughan Sinha,https://www.imdb.com/find?q=Dost
Dost,1989,162,Action,5.2,36,K. Muralimohana Rao,Mithun Chakraborty,Amala Akkineni,Vikas Anand,https://www.imdb.com/find?q=Dost
Dosti,1964,163,"Drama, Family, Musical",8.4,1552,Satyen Bose,Sudhir Kumar,Sushil Kumar,Sanjay Khan,https://www.imdb.com/find?q=Dosti
Dosti Dushmani,1986,152,"Action, Drama",5.7,71,Rama Rao Tatineni,Asrani,Bhanupriya,Poonam Dhillon,https://www.imdb.com/find?q=Dosti%20Dushmani
Dosti Ke Side Effects,2019,130,Drama,3.3,46,Hadi ali Abar,Muntazir Ahmad,Vikrant Anand,Sai Ballal,https://www.imdb.com/find?q=Dosti%20Ke%20Side%20Effects
Dosti: Friends Forever,2005,136,"Drama, Romance",5.5,2462,Suneel Darshan,Akshay Kumar,Bobby Deol,Kareena Kapoor,https://www.imdb.com/find?q=Dosti:%20Friends%20Forever
Double Cross: Ek Dhoka,2005,104,Comedy,4.2,44,Vicky Tejwani,Ayesha Jhulka,Negar Khan,Sahil Khan,https://www.imdb.com/find?q=Double%20Cross:%20Ek%20Dhoka
Double Dhamaal,2011,138,"Comedy, Crime, Drama",3.8,3642,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi,https://www.imdb.com/find?q=Double%20Dhamaal
Downup the Exit 796,2018,102,Thriller,8.2,37,Jaimin Bal,Rajesh Desai,Ruchika Dhankhar,Aniket Dhawalshankh,https://www.imdb.com/find?q=Downup%20the%20Exit%20796
Dozakh in Search of Heaven,2015,92,Drama,7.0,62,Zaigham Imam,Garrick Chaudhary,Roobie,Lalit Mohan Tiwari,https://www.imdb.com/find?q=Dozakh%20in%20Search%20of%20Heaven
Dr. Cabbie,2014,101,Comedy,6.0,2860,Jean-Fran�ois Pouliot,Vinay Virmani,Adrianne Palicki,Kunal Nayyar,https://www.imdb.com/find?q=Dr.%20Cabbie
Dr. Kotnis Ki Amar Kahani,1947,124,"Biography, Drama, War",6.8,77,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Jayashree,Keshavrao Date,https://www.imdb.com/find?q=Dr.%20Kotnis%20Ki%20Amar%20Kahani
Dracula,1999,92,Horror,3.8,18,Bhooshan Lal,Priya Rao,Kiran Kumar,Mohan Joshi,https://www.imdb.com/find?q=Dracula
Dracula 2012,2013,137,Horror,1.9,128,Vinayan,Thilakan,Shraddha Das,Monal Gajjar,https://www.imdb.com/find?q=Dracula%202012
Draupadi,1931,124,Drama,5.3,6,Bhagwati Prasad Mishra,Khalil,Ermeline,Jillo,https://www.imdb.com/find?q=Draupadi
Dreadlocks Story,2014,83,"Documentary, History",8.1,8,Linda A�nouche,Atma,David Hinds,Bill 'Blade' Howell,https://www.imdb.com/find?q=Dreadlocks%20Story
Dream Girl,2019,132,"Comedy, Romance",7.0,12276,Raaj Shaandilyaa,Ayushmann Khurrana,Nushrat Bharucha,Annu Kapoor,https://www.imdb.com/find?q=Dream%20Girl
Dreams... Do Come True,2009,110,"Drama, Music, Musical",6.2,12,Aashish Chanana,Manoj Bidwai,Aashish Chanana,Ashish Chanana,https://www.imdb.com/find?q=Dreams...%20Do%20Come%20True
Dreamz: The Movie,2013,120,Drama,5.2,15,Sumana Mukherjee,Serena Lorien,Melissa Biggs,Aiden Angeli,https://www.imdb.com/find?q=Dreamz:%20The%20Movie
Drishti,1990,171,Drama,7.1,84,Govind Nihalani,Dimple Kapadia,Shekhar Kapur,Mita Vashisht,https://www.imdb.com/find?q=Drishti
Drishyam,2015,163,"Crime, Drama, Mystery",8.2,74326,Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu,https://www.imdb.com/find?q=Drishyam
Drive,2019,147,"Action, Crime, Thriller",3.5,6418,Tarun Mansukhani,Sushant Singh Rajput,Jacqueline Fernandez,Vikramjeet Virk,https://www.imdb.com/find?q=Drive
Droh Kaal,1994,162,"Drama, Thriller",7.6,390,Govind Nihalani,Om Puri,Naseeruddin Shah,Mita Vashisht,https://www.imdb.com/find?q=Droh%20Kaal
Drohi,1992,130,"Action, Crime, Romance",5.9,135,Gurdip Singh,Ram Gopal Varma,Nagarjuna Akkineni,Urmila Matondkar,https://www.imdb.com/find?q=Drohi
Dudes in the 10th Century,2003,130,Comedy,4.6,850,Imtiaz Punjabi,Paresh Rawal,Iqbal Khan,Anuj Sawhney,https://www.imdb.com/find?q=Dudes%20in%20the%2010th%20Century
Duet,1994,156,"Musical, Romance",6.5,276,K. Balachander,Prabhu,Ramesh Aravind,Meenakshi Sheshadri,https://www.imdb.com/find?q=Duet
Dulaara,2015,160,Drama,5.2,13,Rajkumar R. Pandey,Abhilasha,Rani Chatterjee,Mohini Ghosh,https://www.imdb.com/find?q=Dulaara
Dulari,1949,133,"Musical, Romance",6.5,31,Abdul Rashid Kardar,Suresh,Shyam Kumar,Madhubala,https://www.imdb.com/find?q=Dulari
Dulha Dulhan,1964,141,"Comedy, Drama, Family",7.1,90,Ravindra Dave,Raj Kapoor,Sadhana,Agha,https://www.imdb.com/find?q=Dulha%20Dulhan
Dulha Mil Gaya,2010,152,"Comedy, Drama, Romance",4.2,2487,Mudassar Aziz,Sushmita Sen,Fardeen Khan,Ishita Sharma,https://www.imdb.com/find?q=Dulha%20Mil%20Gaya
Dulhan Chahi Pakistan Se,2016,159,"Action, Drama, Family",5.1,19,Rajkumar R. Pandey,Pradeep Pandey,Mukesh Rishi,Subhi Sharma,https://www.imdb.com/find?q=Dulhan%20Chahi%20Pakistan%20Se
Dulhan Ek Raat Ki,1967,170,"Crime, Drama, Music",6.7,40,D.D. Kashyap,Dharmendra,Nutan,Johnny Walker,https://www.imdb.com/find?q=Dulhan%20Ek%20Raat%20Ki
Dulhan Hum Le Jayenge,2000,158,"Comedy, Drama, Romance",5.1,3238,David Dhawan,Salman Khan,Karisma Kapoor,Om Puri,https://www.imdb.com/find?q=Dulhan%20Hum%20Le%20Jayenge
Dulhan Wahi Jo Piya Man Bhaaye,1977,165,"Musical, Drama, Family",7.9,62,Lekh Tandon,Rameshwari,Prem Krishan,Madan Puri,https://www.imdb.com/find?q=Dulhan%20Wahi%20Jo%20Piya%20Man%20Bhaaye
Dulhe Raja,1998,143,Comedy,6.6,2610,Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan,https://www.imdb.com/find?q=Dulhe%20Raja
Dum,2003,166,"Action, Crime, Drama",5.6,1597,Eeshwar Nivas,Vivek Oberoi,Dia Mirza,Atul Kulkarni,https://www.imdb.com/find?q=Dum
Dum Laga Ke Haisha,2015,110,"Comedy, Drama, Romance",7.5,18540,Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra,https://www.imdb.com/find?q=Dum%20Laga%20Ke%20Haisha
Dum Maaro Dum,2011,128,"Action, Crime, Drama",6.2,3860,Rohan Sippy,Abhishek Bachchan,Deepika Padukone,Bipasha Basu,https://www.imdb.com/find?q=Dum%20Maaro%20Dum
Duniya,1984,169,"Action, Drama",7.0,192,Ramesh Talwar,Ashok Kumar,Dilip Kumar,Rishi Kapoor,https://www.imdb.com/find?q=Duniya
Duniya Meri Jeb Mein,1979,139,"Action, Thriller",7.0,78,Tinnu Anand,Shashi Kapoor,Rishi Kapoor,Neetu Singh,https://www.imdb.com/find?q=Duniya%20Meri%20Jeb%20Mein
Duniya Na Mane,1937,166,Drama,6.9,31,Shantaram Rajaram Vankudre,Shanta Apte,Keshavrao Date,Vimala Vasishta,https://www.imdb.com/find?q=Duniya%20Na%20Mane
Dunno Y 2... Life Is a Moment,2015,95,"Drama, Romance",6.3,33,Tonje Gjevjon,Sanjay Sharma,Zeenat Aman,Kapil Kaustubh Sharma,https://www.imdb.com/find?q=Dunno%20Y%202...%20Life%20Is%20a%20Moment
Dunno Y Na Jaane Kyun...,2010,137,"Drama, Romance",3.7,143,Sanjay Sharma,Zeenat Aman,Kabir Bedi,Hazel Croney,https://www.imdb.com/find?q=Dunno%20Y%20Na%20Jaane%20Kyun...
Duplicate,1998,164,"Action, Comedy, Crime",5.6,7174,Mahesh Bhatt,Shah Rukh Khan,Juhi Chawla,Sonali Bendre,https://www.imdb.com/find?q=Duplicate
Duplicate Sholay,2002,147,Comedy,6.5,50,Kanti Shah,Sapna Sappu,Amit Pachori,Dimple,https://www.imdb.com/find?q=Duplicate%20Sholay
Durdesh,1983,143,"Action, Crime, Drama",6.2,33,Ambrish Sangal,Shashi Kapoor,Sharmila Tagore,Parveen Babi,https://www.imdb.com/find?q=Durdesh
Durga,2002,116,Drama,4.6,17,J.D. Chakravarthi,J.D. Chakravarthi,Snehal Dabi,Jayaprakash,https://www.imdb.com/find?q=Durga
Durgamati: The Myth,2020,155,"Horror, Thriller",3.8,4976,Ashok G.,Bhumi Pednekar,Mahie Gill,Arshad Warsi,https://www.imdb.com/find?q=Durgamati:%20The%20Myth
Dus Kahaniyaan,2007,110,Drama,5.7,1556,Meghna Gulzar,Sanjay Gupta,Apoorva Lakhia,Hansal Mehta,https://www.imdb.com/find?q=Dus%20Kahaniyaan
Dus Lakh,1966,162,"Comedy, Drama, Musical",6.6,44,Devendra Goel,Om Prakash,Sanjay Khan,Babita Kapoor,https://www.imdb.com/find?q=Dus%20Lakh
Dus Numbri,1976,155,"Action, Comedy, Drama",5.6,104,Madan Mohla,Manoj Kumar,Hema Malini,Prem Nath,https://www.imdb.com/find?q=Dus%20Numbri
Dus Tola,2010,120,"Comedy, Drama",6.9,301,Ajoy Varma,Manoj Bajpayee,Aarti Chhabria,Pallavi Sharda,https://www.imdb.com/find?q=Dus%20Tola
Dushman,1998,145,"Crime, Drama, Thriller",6.9,1841,Tanuja Chandra,Kajol,Sanjay Dutt,Ashutosh Rana,https://www.imdb.com/find?q=Dushman
Dushman,1990,146,"Action, Drama",5.4,38,Shakti Samanta,Mithun Chakraborty,Mandakini,Sadashiv Amrapurkar,https://www.imdb.com/find?q=Dushman
Dushman,1957,138,Drama,7.1,17,Raj Rishi,Dev Anand,Usha Kiran,Prabhu Dayal,https://www.imdb.com/find?q=Dushman
Dushman Duniya Ka,1996,153,Drama,4.0,652,Mehmood,Tabrez Hashmi,Laila,Mehmood,https://www.imdb.com/find?q=Dushman%20Duniya%20Ka
Dushman Zamana,1992,129,"Action, Romance",5.0,25,Jagdish A. Sharma,Arman Kohli,Divya Bharti,Gulshan Grover,https://www.imdb.com/find?q=Dushman%20Zamana
Dushmani: A Violent Love Story,1995,156,"Action, Drama, Romance",4.9,213,Sanjay Khanna,Karan Razdan,Bunty Soorma,Sunny Deol,https://www.imdb.com/find?q=Dushmani:%20A%20Violent%20Love%20Story
Dushmun,1971,177,Drama,7.1,200,Dulal Guha,Meena Kumari,Rajesh Khanna,Mumtaz,https://www.imdb.com/find?q=Dushmun
Duvidha,1973,82,"Drama, Fantasy, Romance",7.0,577,Mani Kaul,Hardan,Manohar Lalas,Ravi Menon,https://www.imdb.com/find?q=Duvidha
Dvandva,2009,51,"Crime, Drama, Mystery",6.1,15,Chhatrapal Ninawe,Satyakam Anand,Charudatta Bhagwat,Chetan Dhanani,https://www.imdb.com/find?q=Dvandva
Earth,1998,110,"Drama, Romance, War",7.7,7523,Deepa Mehta,Aamir Khan,Nandita Das,Rahul Khanna,https://www.imdb.com/find?q=Earth
Ebn-e-Batuta,2014,125,Sci-Fi,4.3,27,Varun Middha,Omkar Das Manikpuri,Rajeev Verma,Dev Gohar,https://www.imdb.com/find?q=Ebn-e-Batuta
Edegarike,2012,105,"Crime, Drama",7.4,199,D. Sumana Kittur,Aditya,Atul Kulkarni,Akanksha,https://www.imdb.com/find?q=Edegarike
Eduruleni Manishi,2001,138,"Comedy, Drama",4.5,126,Srinivasa Rao Jonnalagadda,J. Sreeniwas Rao,Nagarjuna Akkineni,Soundarya,https://www.imdb.com/find?q=Eduruleni%20Manishi
Eeb Allay Ooo!,2019,98,"Comedy, Drama",7.4,1247,Prateek Vats,Shardul Bharadwaj,Mahender Nath,Nutan Sinha,https://www.imdb.com/find?q=Eeb%20Allay%20Ooo!
